6838.9595	517.2315	  0.0000	 -0.5685	  7.7225	  0.0000	1977.2341
6838.3868	524.9538	  0.0000	 -0.5770	  7.7223	  0.0000	1976.8943
6837.8055	532.6761	  0.0000	 -0.5855	  7.7222	  0.0000	1976.5545
6837.2158	540.3982	  0.0000	 -0.5940	  7.7220	  0.0000	1976.2147
6836.6176	548.1201	  0.0000	 -0.6025	  7.7218	  0.0000	1975.8750
6836.0109	555.8419	  0.0000	 -0.6109	  7.7217	  0.0000	1975.5352
6835.3957	563.5634	  0.0000	 -0.6194	  7.7215	  0.0000	1975.1954
6834.7721	571.2848	  0.0000	 -0.6279	  7.7213	  0.0000	1974.8556
6834.1399	579.0060	  0.0000	 -0.6364	  7.7211	  0.0000	1974.5158
6833.4993	586.7270	  0.0000	 -0.6449	  7.7209	  0.0000	1974.1760
6832.8501	594.4477	  0.0000	 -0.6534	  7.7206	  0.0000	1973.8362
6832.1925	602.1682	  0.0000	 -0.6618	  7.7204	  0.0000	1973.4964
6831.5265	609.8885	  0.0000	 -0.6703	  7.7202	  0.0000	1973.1566
6830.8519	617.6085	  0.0000	 -0.6788	  7.7199	  0.0000	1972.8169
6830.1688	625.3283	  0.0000	 -0.6873	  7.7196	  0.0000	1972.4771
6829.4773	633.0478	  0.0000	 -0.6958	  7.7194	  0.0000	1972.1373
6828.7773	640.7671	  0.0000	 -0.7043	  7.7191	  0.0000	1971.7975
6828.0688	648.4860	  0.0000	 -0.7127	  7.7188	  0.0000	1971.4577
6827.3518	656.2046	  0.0000	 -0.7212	  7.7185	  0.0000	1971.1179
6826.6263	663.9230	  0.0000	 -0.7297	  7.7182	  0.0000	1970.7781
6825.8924	671.6410	  0.0000	 -0.7382	  7.7179	  0.0000	1970.4383
6825.1500	679.3587	  0.0000	 -0.7467	  7.7175	  0.0000	1970.0985
6824.3990	687.0761	  0.0000	 -0.7551	  7.7172	  0.0000	1969.7587
6823.6397	694.7931	  0.0000	 -0.7636	  7.7168	  0.0000	1969.4190
6822.8718	702.5098	  0.0000	 -0.7721	  7.7165	  0.0000	1969.0792
6822.0954	710.2261	  0.0000	 -0.7806	  7.7161	  0.0000	1968.7394
6821.3106	717.9420	  0.0000	 -0.7891	  7.7157	  0.0000	1968.3996
6820.5173	725.6576	  0.0000	 -0.7975	  7.7154	  0.0000	1968.0598
